Customer_ID,recency,frequency,monetary,log_monetary,cluster,segment
CUST_00039,110,3,3282.2999999999997,8.096604293162226,1,Loyal Customers
CUST_00040,60,3,2875.36,7.964280884859917,1,Loyal Customers
CUST_00041,16,4,5685.5599999999995,8.645860774874558,1,Loyal Customers
CUST_00042,207,2,3605.71,8.190551278447616,1,Loyal Customers
CUST_00043,114,2,1279.8000000000002,7.155240161682505,2,At Risk
CUST_00044,60,2,391.98,5.97375871998905,2,At Risk
CUST_00045,75,3,7551.92,8.929689522439533,1,Loyal Customers
CUST_00046,90,2,1887.29,7.5434269366048285,1,Loyal Customers
CUST_00047,18,2,2974.21,7.998069903723792,1,Loyal Customers
CUST_00048,53,4,4436.29,8.397799108720196,1,Loyal Customers
CUST_00049,134,3,702.35,6.555854634203705,2,At Risk
CUST_00050,12,1,247.4,5.515040350059324,2,At Risk
CUST_00051,27,2,338.21999999999997,5.826648864443693,2,At Risk
CUST_00052,11,4,6802.75,8.825229209748409,1,Loyal Customers
CUST_00053,23,1,208.84,5.346345335558619,2,At Risk
CUST_00054,215,1,529.46,6.273744554645768,3,New / Low-Engagement
CUST_00055,11,3,774.3199999999999,6.653275847358074,2,At Risk
CUST_00056,32,5,5841.23,8.672867852251445,1,Loyal Customers
CUST_00057,88,4,1515.3899999999999,7.324087789054358,1,Loyal Customers
CUST_00058,60,6,4964.26,8.510220941674154,0,Champions
CUST_00059,31,4,3890.71,8.266603928710635,1,Loyal Customers
CUST_00060,219,1,1172.8,7.068001628124234,3,New / Low-Engagement
CUST_00061,44,3,1242.8,7.125926488669789,2,At Risk
CUST_00062,94,4,5638.85,8.637612748393751,1,Loyal Customers
CUST_00063,26,3,2960.14,7.993329608307742,1,Loyal Customers
CUST_00064,49,1,732.09,6.597268477432645,2,At Risk
CUST_00065,16,2,2971.2200000000003,7.997064427324102,1,Loyal Customers
CUST_00066,191,1,3552.78,8.175767104716423,1,Loyal Customers
CUST_00067,64,5,1488.3700000000001,7.306108490734489,1,Loyal Customers
CUST_00068,48,1,122.67,4.817616727753966,2,At Risk
CUST_00069,172,2,2560.76,7.848449801253745,1,Loyal Customers
CUST_00070,145,3,1276.27,7.152480266729925,2,At Risk
CUST_00071,60,4,2052.29,7.6271986637406615,1,Loyal Customers
CUST_00072,31,7,5370.1,8.588788008238932,0,Champions
CUST_00073,241,1,224.75,5.419428192297095,3,New / Low-Engagement
CUST_00074,50,7,9628.380000000001,9.172574120580403,0,Champions
CUST_00075,132,3,9552.539999999999,9.164667045417957,1,Loyal Customers
CUST_00076,45,5,21055.71,9.954974553161414,0,Champions
CUST_00077,9,4,1282.79,7.157571919472049,1,Loyal Customers
CUST_00078,204,3,299.29,5.704748674401526,2,At Risk
CUST_00079,221,3,2644.09,7.880460370178541,3,New / Low-Engagement
CUST_00080,139,5,703.8,6.557914074621969,2,At Risk
CUST_00081,145,1,1985.21,7.593983579196288,2,At Risk
CUST_00082,97,5,3602.9900000000002,8.189796844029596,1,Loyal Customers
CUST_00083,167,1,510.39,6.2371325085008635,2,At Risk
CUST_00084,86,6,2703.68,7.902738884837179,0,Champions
CUST_00085,197,2,933.0300000000001,6.839508557627356,3,New / Low-Engagement
CUST_00086,370,2,2238.3,7.713918596010786,3,New / Low-Engagement
CUST_00087,154,5,1283.77,7.15833499298215,1,Loyal Customers
CUST_00088,86,5,1563.12,7.355078644504652,1,Loyal Customers
CUST_00089,87,9,14986.29,9.614957787561208,0,Champions
CUST_00090,163,4,3776.86,8.236912990731113,1,Loyal Customers
CUST_00091,147,4,582.1700000000001,6.368478739042131,2,At Risk
CUST_00092,16,10,8608.02,9.060565769805448,0,Champions
CUST_00093,136,2,6583.81,8.79252076030629,1,Loyal Customers
CUST_00094,225,1,426.73,6.058492155396318,3,New / Low-Engagement
CUST_00095,191,3,593.19,6.387199133536505,2,At Risk
CUST_00096,8,3,467.69,6.149941569091921,2,At Risk
CUST_00097,39,1,481.84,6.179685335832926,2,At Risk
CUST_00098,101,2,2463.56,7.809768571558149,1,Loyal Customers
CUST_00099,32,4,18407.65,9.820575941826256,1,Loyal Customers
CUST_00100,86,1,405.46,6.007485523162161,2,At Risk
CUST_00101,133,5,14130.9,9.55618993231474,1,Loyal Customers
CUST_00102,94,3,3300.2200000000003,8.102047376103183,1,Loyal Customers
CUST_00103,116,5,3956.62,8.283398113468548,1,Loyal Customers
CUST_00104,36,6,2906.6,7.97508327761048,0,Champions
CUST_00105,46,2,1380.1000000000001,7.230635562083883,2,At Risk
CUST_00106,17,3,9962.97,9.206730865538518,1,Loyal Customers
CUST_00107,251,3,3083.11,8.034018402010817,3,New / Low-Engagement
CUST_00108,44,2,9111.15,9.117363966800127,1,Loyal Customers
CUST_00109,48,6,2921.8199999999997,7.980304182647175,0,Champions
CUST_00110,243,2,562.8,6.334699578680012,3,New / Low-Engagement
CUST_00111,99,5,5355.2300000000005,8.586015648383459,1,Loyal Customers
CUST_00112,9,5,5338.15,8.58282174325443,1,Loyal Customers
CUST_00113,66,3,6708.43,8.81126927851841,1,Loyal Customers
CUST_00114,96,2,226.3,5.426270730858498,2,At Risk
CUST_00115,57,5,5358.67,8.586657685005333,1,Loyal Customers
CUST_00116,196,2,396.59,5.985421323560697,2,At Risk
CUST_00117,408,2,1997.66,7.600232234991777,3,New / Low-Engagement
CUST_00118,196,2,1258.27,7.138287466969359,3,New / Low-Engagement
CUST_00119,163,2,822.8799999999999,6.714024888236277,2,At Risk
CUST_00120,59,2,1048.33,6.955907144244063,2,At Risk
CUST_00121,156,2,1275.3999999999999,7.151798894404088,2,At Risk
CUST_00122,80,2,5916.799999999999,8.685720037188002,1,Loyal Customers
CUST_00123,79,1,119.1,4.788324729085938,2,At Risk
CUST_00124,96,3,1334.43,7.197008616350403,2,At Risk
CUST_00125,1,6,5482.3099999999995,8.609464212197205,0,Champions
CUST_00126,184,3,5796.18,8.665126871401059,1,Loyal Customers
CUST_00127,194,2,6812.73,8.826694973132943,1,Loyal Customers
CUST_00128,27,3,1894.3600000000001,7.5471640730886005,1,Loyal Customers
CUST_00129,133,4,4425.11,8.395276373442695,1,Loyal Customers
CUST_00130,183,5,1415.34,7.255831358425504,1,Loyal Customers
CUST_00131,32,4,1450.0500000000002,7.280042711284288,1,Loyal Customers
CUST_00132,93,1,401.74,5.998291192450259,2,At Risk
CUST_00133,66,4,3183.6200000000003,8.066088251626182,1,Loyal Customers
CUST_00134,130,2,330.47,5.803537307793193,2,At Risk
CUST_00135,85,4,1205.28,7.095296522810252,1,Loyal Customers
CUST_00136,21,7,27744.81,10.230840116783302,0,Champions
CUST_00137,103,5,7847.549999999999,8.968084080339041,1,Loyal Customers
CUST_00138,303,2,5038.3,8.52502246253057,3,New / Low-Engagement
CUST_00139,13,3,2415.02,7.789876837166137,1,Loyal Customers
CUST_00140,76,5,4127.54,8.325679112559488,1,Loyal Customers
CUST_00141,31,3,692.77,6.54214049347393,2,At Risk
CUST_00142,103,6,4468.86,8.405112367206621,0,Champions
CUST_00143,169,4,6306.07,8.749426505381194,1,Loyal Customers
CUST_00144,113,2,5798.76,8.665571816368018,1,Loyal Customers
CUST_00145,10,6,4239.0,8.352318548226004,0,Champions
CUST_00146,151,3,4920.679999999999,8.501405214615623,1,Loyal Customers
CUST_00147,50,3,2613.37,7.868778429691646,1,Loyal Customers
CUST_00148,39,3,4689.19,8.453228372346826,1,Loyal Customers
CUST_00149,21,2,4978.3,8.513044597889904,1,Loyal Customers
CUST_00150,2,2,2227.61,7.709133351724846,1,Loyal Customers
CUST_00151,60,3,12397.1,9.425298514046403,1,Loyal Customers
CUST_00152,63,7,3955.98,8.28323638703856,0,Champions
CUST_00153,6,5,4193.99,8.34164623510824,1,Loyal Customers
CUST_00154,31,10,41613.83,10.63621187310637,0,Champions
CUST_00155,111,5,10313.310000000001,9.24128753039347,1,Loyal Customers
CUST_00156,193,2,1687.83,7.431791260469178,3,New / Low-Engagement
CUST_00157,273,3,2816.84,7.943725912990066,3,New / Low-Engagement
CUST_00158,55,8,8416.01,9.038009937282629,0,Champions
CUST_00159,281,1,2443.68,7.80166951399792,3,New / Low-Engagement
CUST_00160,160,1,11182.48,9.322192968399818,1,Loyal Customers
CUST_00161,81,4,793.8000000000001,6.678090510677662,2,At Risk
CUST_00162,250,1,237.6,5.474788509663815,3,New / Low-Engagement
CUST_00163,328,2,5341.99,8.583540700348308,3,New / Low-Engagement
CUST_00164,187,2,394.59999999999997,5.980403599748557,2,At Risk
CUST_00165,114,2,6117.8099999999995,8.719122912155155,1,Loyal Customers
CUST_00166,212,3,1549.54,7.346358536337373,3,New / Low-Engagement
CUST_00167,137,9,11605.460000000001,9.359317118636842,0,Champions
CUST_00168,162,7,8067.05,8.995667096377655,0,Champions
CUST_00169,67,2,214.62,5.373517599110972,2,At Risk
CUST_00170,124,2,1897.07,7.54859285941708,1,Loyal Customers
CUST_00171,112,2,585.45,6.374087412967514,2,At Risk
CUST_00172,36,5,1556.11,7.350586818021863,1,Loyal Customers
CUST_00173,43,3,672.02,6.511775046885187,2,At Risk
CUST_00174,246,4,20734.25,9.939590429516407,1,Loyal Customers
CUST_00175,2,4,6394.780000000001,8.76339367686446,1,Loyal Customers
CUST_00176,377,1,1207.95,7.09750749326662,3,New / Low-Engagement
CUST_00177,314,2,1353.74,7.211364832983292,3,New / Low-Engagement
CUST_00178,200,6,18129.14,9.805331025726804,0,Champions
CUST_00179,206,1,94.26,4.556609995372715,2,At Risk
CUST_00180,6,4,1081.19,6.986742044729794,1,Loyal Customers
CUST_00181,6,7,3503.51,8.161805989410412,0,Champions
CUST_00182,9,4,4957.13,8.508783932501492,1,Loyal Customers
CUST_00183,111,7,5201.82,8.556956065266151,0,Champions
CUST_00184,90,2,224.32,5.417521614026513,2,At Risk
CUST_00185,136,1,3413.36,8.135745345949777,1,Loyal Customers
CUST_00186,121,3,869.0,6.76849321164863,2,At Risk
CUST_00187,284,2,2598.7200000000003,7.8631590259026485,3,New / Low-Engagement
CUST_00188,130,1,81.09,4.407816206360175,2,At Risk
CUST_00189,37,9,14335.39,9.570556339085755,0,Champions
CUST_00190,217,3,13061.51,9.477501574257113,1,Loyal Customers
CUST_00191,86,2,3211.2200000000003,8.074717565871788,1,Loyal Customers
CUST_00192,257,1,90.92,4.5209186335405,3,New / Low-Engagement
CUST_00193,35,4,2969.69,7.996549528046206,1,Loyal Customers
CUST_00194,27,2,985.1400000000001,6.893798332352932,2,At Risk
CUST_00195,173,3,4017.48,8.298659000658928,1,Loyal Customers
CUST_00196,17,3,10132.67,9.22361882185852,1,Loyal Customers
CUST_00197,73,10,47324.23,10.76479883607628,0,Champions
CUST_00198,24,4,4623.04,8.439024060833828,1,Loyal Customers
CUST_00199,155,4,6738.69,8.815769208783312,1,Loyal Customers
CUST_00200,17,6,5927.53,8.687531569187254,0,Champions
CUST_00201,363,1,103.56,4.649761069315966,3,New / Low-Engagement
CUST_00202,430,1,131.92,4.889747443486393,3,New / Low-Engagement
CUST_00203,97,4,961.24,6.869263899800164,2,At Risk
CUST_00204,75,3,2324.31,7.7516086424666915,1,Loyal Customers
CUST_00205,13,7,4079.13,8.3138841296357,0,Champions
CUST_00206,379,2,3340.6099999999997,8.114208005756893,3,New / Low-Engagement
CUST_00207,15,2,685.31,6.531329420695801,2,At Risk
CUST_00208,351,1,2215.8,7.703819993548769,3,New / Low-Engagement
CUST_00209,181,3,990.95,6.899672702788781,2,At Risk
CUST_00210,13,6,11821.51,9.37776062036246,0,Champions
CUST_00211,43,4,794.12,6.67849304665975,2,At Risk
CUST_00212,56,6,14783.85,9.60135828681746,0,Champions
CUST_00213,371,2,776.3599999999999,6.655903563531184,3,New / Low-Engagement
CUST_00214,161,3,2156.65,7.676774945453932,1,Loyal Customers
CUST_00215,27,3,3373.4500000000003,8.12398762706376,1,Loyal Customers
CUST_00216,256,5,7822.99,8.964949933595227,1,Loyal Customers
CUST_00217,246,1,86.62,4.473009282385752,3,New / Low-Engagement
CUST_00218,62,3,5745.79,8.656396717036213,1,Loyal Customers
CUST_00219,205,2,894.11,6.796946615750584,3,New / Low-Engagement
CUST_00220,24,3,2958.81,7.992880356068703,1,Loyal Customers
CUST_00221,74,3,1595.11,7.375324697940486,1,Loyal Customers
CUST_00222,177,4,1203.7,7.093985852272807,1,Loyal Customers
CUST_00223,374,2,3880.27,8.263917698647578,3,New / Low-Engagement
CUST_00224,90,3,3107.41,8.04186662041909,1,Loyal Customers
CUST_00225,19,3,7058.01,8.86206009402572,1,Loyal Customers
CUST_00226,83,1,168.0,5.1298987149230735,2,At Risk
CUST_00227,204,1,30.5,3.449987545831587,2,At Risk
CUST_00228,130,3,534.81,6.283779620616822,2,At Risk
CUST_00229,20,5,5361.07,8.587105373540979,1,Loyal Customers
CUST_00230,2,2,232.82,5.454551588578672,2,At Risk
CUST_00231,3,4,5517.289999999999,8.615823308669901,1,Loyal Customers
CUST_00232,69,1,426.24,6.057345916221495,2,At Risk
CUST_00233,271,1,434.34,6.076127334986691,3,New / Low-Engagement
CUST_00234,37,4,5509.29,8.614372532340914,1,Loyal Customers
CUST_00235,331,1,287.72,5.665457360334533,3,New / Low-Engagement
CUST_00236,7,2,6898.39,8.839188280880226,1,Loyal Customers
CUST_00237,52,3,356.31,5.8786037523231345,2,At Risk
CUST_00238,93,8,12917.61,9.466424186409578,0,Champions
CUST_00239,65,3,1649.18,7.408639651853736,1,Loyal Customers
CUST_00240,184,2,2792.2200000000003,7.934950331192558,1,Loyal Customers
CUST_00241,129,10,15101.949999999999,9.622645367960319,0,Champions
CUST_00242,57,8,22668.920000000002,10.028794214602538,0,Champions
CUST_00243,63,2,890.73,6.793163396177009,2,At Risk
CUST_00244,66,3,1374.4,7.226499876885736,1,Loyal Customers
CUST_00245,103,6,14832.900000000001,9.604670381003725,0,Champions
CUST_00246,141,2,1239.0900000000001,7.122939236610397,2,At Risk
CUST_00247,75,7,5413.9400000000005,8.596917079041294,0,Champions
CUST_00248,31,3,2203.43,7.698224251061823,1,Loyal Customers
CUST_00249,198,4,5215.41,8.559564704811812,1,Loyal Customers
CUST_00250,176,1,12718.2,9.450867941834499,1,Loyal Customers
CUST_00251,105,2,2474.96,7.814383478585139,1,Loyal Customers
CUST_00252,32,9,18766.25,9.839868608457941,0,Champions
CUST_00253,168,3,6104.4400000000005,8.71693545601981,1,Loyal Customers
CUST_00254,107,4,613.1800000000001,6.420288044793382,2,At Risk
CUST_00255,171,2,220.81,5.401821159562698,2,At Risk
CUST_00256,83,6,13381.57,9.501708392965607,0,Champions
CUST_00257,87,2,973.8900000000001,6.882324644120314,2,At Risk
CUST_00258,140,6,3768.67,8.234742743454307,0,Champions
CUST_00259,233,2,4355.91,8.379518369489132,3,New / Low-Engagement
CUST_00260,255,2,427.65999999999997,6.060664063908987,3,New / Low-Engagement
CUST_00261,26,6,4224.62,8.348921274587328,0,Champions
CUST_00262,287,1,50.9,3.949318790171843,3,New / Low-Engagement
CUST_00263,230,3,6274.570000000001,8.744419596527973,1,Loyal Customers
CUST_00264,39,3,924.3399999999999,6.830161237543583,2,At Risk
CUST_00265,12,7,4866.16,8.490265883753754,0,Champions
CUST_00266,12,3,12708.69,9.45011997364215,1,Loyal Customers
CUST_00267,287,1,5004.9,8.51837249576343,3,New / Low-Engagement
CUST_00268,98,3,947.34,6.85471308774459,2,At Risk
CUST_00269,209,1,2800.5,7.937910267005339,3,New / Low-Engagement
CUST_00270,146,1,186.07,5.231482878360813,2,At Risk
CUST_00271,163,2,219.17,5.394399975225081,2,At Risk
CUST_00272,326,3,5937.62,8.689232062133145,3,New / Low-Engagement
CUST_00273,424,1,6248.78,8.740301542110913,3,New / Low-Engagement
CUST_00274,91,2,186.5,5.233778845410465,2,At Risk
CUST_00275,71,1,1990.27,7.596527905116066,2,At Risk
CUST_00276,66,3,1081.69,6.987203964105362,2,At Risk
CUST_00277,239,2,374.69,5.92876433524405,3,New / Low-Engagement
CUST_00278,256,1,355.71,5.876923126734986,3,New / Low-Engagement
CUST_00279,15,9,8998.039999999999,9.104873183962397,0,Champions
CUST_00280,331,1,363.61,5.898828289186049,3,New / Low-Engagement
CUST_00281,50,4,11020.91,9.307640388922636,1,Loyal Customers
CUST_00282,108,1,858.7,6.756583491180399,2,At Risk
CUST_00283,49,1,105.6,4.669083511731744,2,At Risk
CUST_00284,305,2,3209.09,8.074054253114198,3,New / Low-Engagement
CUST_00285,114,1,229.55,5.440467758652715,2,At Risk
CUST_00286,31,7,6885.5,8.837318252357386,0,Champions
CUST_00287,51,3,4548.25,8.422717663193351,1,Loyal Customers
CUST_00288,125,5,6706.0,8.810907036099737,1,Loyal Customers
CUST_00289,3,8,11224.32,9.325927219999215,0,Champions
CUST_00290,172,2,4059.1499999999996,8.308975197726106,1,Loyal Customers
CUST_00291,128,3,1503.5,7.3162158960701,1,Loyal Customers
CUST_00292,50,6,3072.8,8.030669860173212,0,Champions
CUST_00293,87,3,5139.64,8.54493286431671,1,Loyal Customers
CUST_00294,139,3,4237.54,8.35197414930486,1,Loyal Customers
CUST_00295,185,3,744.88,6.614564729355893,2,At Risk
CUST_00296,13,2,3827.6400000000003,8.250264927731006,1,Loyal Customers
CUST_00297,74,2,5984.12,8.697031667916386,1,Loyal Customers
CUST_00298,82,1,2986.14,8.002071686886756,1,Loyal Customers
CUST_00299,11,3,2362.61,7.76794539029689,1,Loyal Customers
CUST_00300,288,2,1295.79,7.167647259102407,3,New / Low-Engagement
CUST_00301,83,3,886.8,6.788746492399935,2,At Risk
CUST_00302,31,5,7594.5599999999995,8.935319145030643,1,Loyal Customers
CUST_00303,148,2,748.76,6.61975315531943,2,At Risk
CUST_00304,99,2,5288.84,8.573543278648241,1,Loyal Customers
CUST_00305,355,2,3982.9399999999996,8.29002655835012,3,New / Low-Engagement
CUST_00306,63,6,6928.47,8.843538610182796,0,Champions
CUST_00307,250,2,4069.7799999999997,8.311589906266502,3,New / Low-Engagement
CUST_00308,95,3,3162.1000000000004,8.059307838360741,1,Loyal Customers
CUST_00309,59,5,3053.3100000000004,8.024308986848519,1,Loyal Customers
CUST_00310,158,1,4054.88,8.307922959034535,1,Loyal Customers
CUST_00311,33,2,1968.97,7.585773593189685,1,Loyal Customers
CUST_00312,111,1,85.44,4.459450531638685,2,At Risk
CUST_00313,166,2,494.02,6.2045981657928735,2,At Risk
CUST_00314,100,3,2567.12,7.85092939269005,1,Loyal Customers
CUST_00315,311,2,400.93,5.996277944103511,3,New / Low-Engagement
CUST_00316,164,1,1295.0,7.16703787691222,2,At Risk
CUST_00317,42,3,1719.7,7.450486463759112,1,Loyal Customers
CUST_00318,211,3,7715.96,8.951175783082759,1,Loyal Customers
CUST_00319,154,3,1865.71,7.531932802071398,1,Loyal Customers
CUST_00320,125,1,448.2,6.107468222864288,2,At Risk
CUST_00321,54,10,9956.119999999999,9.2060431521383,0,Champions
CUST_00322,414,1,2536.32,7.8388636848733775,3,New / Low-Engagement
CUST_00323,221,3,2076.6400000000003,7.638987913147415,3,New / Low-Engagement
CUST_00324,56,3,2388.65,7.778902190687013,1,Loyal Customers
CUST_00325,226,1,2178.78,7.686979233259436,3,New / Low-Engagement
CUST_00326,280,2,2225.29,7.708091801876485,3,New / Low-Engagement
CUST_00327,82,2,1503.48,7.316202602528767,2,At Risk
CUST_00328,91,2,3388.15,8.128334431471476,1,Loyal Customers
CUST_00329,36,7,8675.3,9.068350449495567,0,Champions
CUST_00330,98,1,872.72,6.77275995819462,2,At Risk
CUST_00331,5,3,1630.78,7.397426722515618,1,Loyal Customers
CUST_00332,111,3,903.08,6.806917852051895,2,At Risk
CUST_00333,443,1,568.64,6.345004582351227,3,New / Low-Engagement
CUST_00334,110,2,4985.6,8.514509593787036,1,Loyal Customers
CUST_00335,13,2,2841.91,7.952583454449248,1,Loyal Customers
CUST_00336,21,6,8133.17,9.003828986175005,0,Champions
CUST_00337,210,1,3681.65,8.211387880704768,3,New / Low-Engagement
CUST_00338,96,4,2652.9700000000003,7.8838119111357265,1,Loyal Customers
CUST_00339,43,5,8773.0,9.07954808172616,1,Loyal Customers
CUST_00340,56,2,297.3,5.698099691520703,2,At Risk
CUST_00341,42,5,5653.17,8.640148605010582,1,Loyal Customers
CUST_00342,94,6,9730.85,9.183159290714347,0,Champions
CUST_00343,66,2,133.44,4.901118002856905,2,At Risk
CUST_00344,407,2,1766.02,7.47704979087477,3,New / Low-Engagement
CUST_00345,40,3,7194.0,8.881141619321468,1,Loyal Customers
CUST_00346,103,5,6818.34,8.827517971961035,1,Loyal Customers
CUST_00347,338,4,5339.1,8.58299965837066,3,New / Low-Engagement
CUST_00348,47,4,2877.3,7.9649551210697,1,Loyal Customers
CUST_00349,33,4,2643.9,7.880388536394325,1,Loyal Customers
CUST_00350,433,1,3351.67,8.117512322296752,3,New / Low-Engagement
CUST_00351,78,6,13195.92,9.48773874801467,0,Champions
CUST_00352,184,3,743.3799999999999,6.6125516571315055,2,At Risk
CUST_00353,209,3,1009.15,6.917854113659551,3,New / Low-Engagement
CUST_00354,246,3,4360.4800000000005,8.380566728284403,3,New / Low-Engagement
CUST_00355,83,8,4192.860000000001,8.3413768298842,0,Champions
CUST_00356,174,2,3884.3500000000004,8.26496834883397,1,Loyal Customers
CUST_00357,154,3,2235.7799999999997,7.712792610654739,1,Loyal Customers
CUST_00358,208,1,2005.55,7.604172108409705,3,New / Low-Engagement
CUST_00359,52,2,3735.6699999999996,8.225950119458359,1,Loyal Customers
CUST_00360,136,1,957.96,6.865849363898844,2,At Risk
CUST_00361,12,5,16828.5,9.730888577890296,0,Champions
CUST_00362,101,1,1367.58,7.221528984937997,2,At Risk
CUST_00363,120,3,5134.74,8.543979221035448,1,Loyal Customers
CUST_00364,20,3,2166.73,7.681435816058556,1,Loyal Customers
CUST_00365,57,5,8058.8099999999995,8.994645262021828,1,Loyal Customers
CUST_00366,20,2,962.35,6.870416793326769,2,At Risk
CUST_00367,360,1,438.31,6.0852053142100155,3,New / Low-Engagement
CUST_00368,123,5,22308.22,10.012755324914904,0,Champions
CUST_00369,10,1,14.81,2.7606426512213806,2,At Risk
CUST_00370,198,2,2215.34,7.703612465700945,3,New / Low-Engagement
CUST_00371,91,1,564.76,6.338169960009224,2,At Risk
CUST_00372,309,2,1792.47,7.491907569762463,3,New / Low-Engagement
CUST_00373,76,5,11427.89,9.343899639212205,1,Loyal Customers
CUST_00374,54,2,2280.27,7.732487584415658,1,Loyal Customers
CUST_00375,167,4,5613.87,8.633173714633822,1,Loyal Customers
CUST_00376,225,2,117.80000000000001,4.777441406928545,3,New / Low-Engagement
CUST_00377,265,1,174.37,5.166898027681201,3,New / Low-Engagement
CUST_00378,117,3,12224.019999999999,9.411239950333554,1,Loyal Customers
CUST_00379,37,4,1054.11,6.961400305877751,1,Loyal Customers
CUST_00380,7,4,5515.51,8.615500692942305,1,Loyal Customers
CUST_00381,76,1,1052.55,6.959920692962816,2,At Risk
CUST_00382,263,1,161.95,5.093443405283571,3,New / Low-Engagement
CUST_00383,26,2,2991.9300000000003,8.004008119674086,1,Loyal Customers
CUST_00384,162,1,690.2,6.5384292174898455,2,At Risk
CUST_00385,82,5,13334.490000000002,9.498184181347844,1,Loyal Customers
CUST_00386,424,1,114.13,4.746061924685573,3,New / Low-Engagement
CUST_00387,279,1,298.26,5.701312760755274,3,New / Low-Engagement
CUST_00388,133,6,1961.66,7.582055974995703,1,Loyal Customers
CUST_00389,50,4,6735.0,8.815221555922163,1,Loyal Customers
CUST_00390,58,6,6918.36,8.84207855878553,0,Champions
CUST_00391,79,2,777.66,6.657574493599522,2,At Risk
CUST_00392,49,3,3863.8500000000004,8.259678150436578,1,Loyal Customers
CUST_00393,186,3,1399.6000000000001,7.244655995221417,1,Loyal Customers
CUST_00394,78,7,3738.27,8.226645684191308,0,Champions
CUST_00395,251,2,7803.389999999999,8.962441674866442,3,New / Low-Engagement
CUST_00396,109,3,1345.42,7.20520449719289,2,At Risk
CUST_00397,83,5,10800.16,9.287408814751956,1,Loyal Customers
CUST_00398,42,6,4775.8,8.471526145232783,0,Champions
CUST_00399,5,3,231.03999999999996,5.4469097705978635,2,At Risk
CUST_00400,29,8,10932.39,9.299576688617524,0,Champions
CUST_00401,20,4,10794.24,9.286860575216823,1,Loyal Customers
CUST_00402,73,4,1304.47,7.174318408173883,1,Loyal Customers
CUST_00403,14,2,819.98,6.710498748619774,2,At Risk
CUST_00404,96,3,2761.87,7.92402527350888,1,Loyal Customers
CUST_00405,181,1,2160.88,7.678733492495929,3,New / Low-Engagement
CUST_00406,28,9,6084.75,8.713705251729529,0,Champions
CUST_00407,95,3,4609.389999999999,8.436067731110908,1,Loyal Customers
CUST_00408,22,9,28865.97,10.270453313910348,0,Champions
CUST_00409,22,2,7865.040000000001,8.970310038155535,1,Loyal Customers
CUST_00410,128,1,282.21,5.646188671930618,2,At Risk
CUST_00411,3,2,1459.8500000000001,7.286773737075318,2,At Risk
CUST_00412,35,2,2268.76,7.727429378013722,1,Loyal Customers
CUST_00413,376,1,374.12,5.927245974781331,3,New / Low-Engagement
CUST_00414,26,2,2184.73,7.6897051478418526,1,Loyal Customers
CUST_00415,111,2,1681.1999999999998,7.427857739528337,2,At Risk
